year,UnitedKingdom,England,NorthEast,NorthWest,YorkshireandtheHumber,EastMidlands,WestMidlands,EastofEngland,London,SouthEast,SouthWest,Wales,Scotland,NorthernIreland
1993,62000,64000,49000,56000,55000,54000,58000,66000,81000,77000,61000,52000,49000,39000
1994,65000,67000,49000,57000,54000,55000,59000,69000,87000,82000,65000,53000,50000,39000
1995,66000,68000,47000,56000,54000,55000,62000,70000,90000,83000,65000,53000,53000,43000
1996,70000,72000,51000,57000,55000,58000,64000,73000,94000,87000,68000,55000,56000,48000
1997,76000,78000,53000,63000,60000,62000,67000,81000,105000,94000,73000,58000,57000,53000
1998,82000,85000,56000,66000,62000,66000,72000,89000,115000,107000,80000,61000,63000,59000
1999,92000,95000,61000,72000,67000,72000,79000,97000,141000,121000,89000,67000,69000,66000
2000,101000,107000,63000,78000,72000,79000,88000,112000,164000,143000,104000,72000,70000,72000
2001,112000,119000,69000,82000,76000,87000,97000,128000,182000,156000,118000,79000,73000,80000
2002,127000,136000,78000,91000,88000,104000,111000,151000,206000,178000,141000,88000,77000,84000
2003,151000,162000,99000,114000,112000,129000,134000,181000,237000,211000,171000,111000,95000,95000
2004,180000,192000,127000,139000,137000,154000,162000,203000,273000,237000,198000,138000,119000,110000
2005,191000,202000,135000,149000,148000,161000,169000,212000,283000,244000,205000,150000,130000,129000
2006,205000,214000,141000,158000,158000,164000,177000,221000,306000,257000,214000,157000,137000,169000
2007,223000,232000,152000,170000,170000,176000,185000,238000,342000,278000,231000,170000,159000,230000
2008,228000,237000,159000,175000,173000,177000,185000,244000,351000,285000,230000,170000,169000,218000
2009,226000,234000,157000,174000,176000,172000,185000,233000,338000,274000,220000,166000,174000,185000
2010,251000,261000,162000,183000,182000,185000,201000,261000,385000,309000,240000,172000,185000,168000
2011,245000,256000,153000,175000,171000,179000,189000,256000,401000,301000,232000,165000,180000,141000
2012,246000,256000,153000,174000,171000,177000,188000,255000,410000,303000,232000,165000,180000,131000
2013,251000,261000,154000,175000,172000,178000,191000,258000,428000,305000,230000,169000,181000,136000
2014,267000,278000,162000,184000,182000,188000,202000,280000,470000,330000,244000,178000,191000,144000
2015,277000,291000,168000,192000,188000,199000,211000,306000,514000,356000,259000,178000,193000,152000
2016,283000,298000,169000,197000,192000,207000,219000,326000,534000,375000,270000,182000,187000,152000
2017,280000,298000,168000,198000,192000,213000,223000,335000,536000,379000,277000,184000,185000,154000
2018,283000,300000,169000,202000,196000,222000,231000,338000,538000,382000,283000,188000,190000,158000
2019,282000,300000,171000,205000,199000,224000,232000,339000,538000,381000,285000,190000,193000,160000
2020,303000,321000,180000,217000,210000,236000,247000,356000,575000,404000,304000,201000,202000,172000
2021,324000,342000,192000,237000,228000,258000,266000,378000,603000,426000,326000,225000,218000,182000
2022,340000,360000,197000,248000,237000,271000,277000,398000,614000,452000,347000,241000,230000,192000
2023,330000,350000,201000,248000,237000,267000,276000,388000,590000,432000,338000,236000,230000,196000
